Brand,Nama Product,Category,SkinType,Ingredients,Berat (g),Price,Link
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
SKINTIFIC,5X Ceramide Skin Barrier Repair Moisturize Gel,Moisturizer,Sensitive,"Aqua, Butylene Glycol, Hydrogenated Polyisobutene, Dimethicone, Glycerin, Propylene Glycol, 1,2-Hexanediol, Hydroxyacetophenone, PEG-400, Ammonium Acryloyldimethyltaurate/​VP Copolymer, Hydrogenated Lecithin, Panthenol, Phytosteryl/​Octyldodecyl Lauroyl Glutamate, Carbomer, Allantoin, Pca, Hydroxyethyl Acrylate/​Sodium Acryloyldimethyl Taurate Copolymer, Squalane, Ceramide NP, Ceramide NS, Ceramide NG, Ceramide AS, Ceramide EOP, Ceramide AP, Sodium Hyaluronate, Hydrolyzed Collagen, Centella Asiatica Extract, Sodium Hydroxide, Hamamelis Virginiana (Witch Hazel) Extract, Trehalose, Ectoin, Sophora Flavescens Root Extract, Opuntia Ficus-Indica Stem Extract, Ophiopogon Japonicus Root Extract, Yeast Polysaccharides, Pentylene Glycol, Disodium EDTA-Copper, Polysorbate 60, T-Butyl Alcohol, Citrus Aurantium Amara (Bitter Orange) Flower Oil, Sorbitan Isostearate, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Medica Limonum (Lemon) Peel Oil",30,125000,https://shopee.co.id/SKINTIFIC-5X-Ceramide-Barrier-Moisturizer-Gel-30g-Cream-Pemutih-Wajah-Calming-Whitening-Brightening-Dark-Spot-Pelembab-Wajah-Pemutih-Wajah-Facial-Moisturizer-Day-Cream-Night-Cream-Skincare-BPOM-Niacinamide-with-Centella-Marine-Collagen-Hyaluronic-Acid-i.380266264.22324918043?sp_atk=d911359c-1be9-4d08-a301-495a08b6cf40&xptdk=d911359c-1be9-4d08-a301-495a08b6cf40
SKINTIFIC,MSH Niacinamide Brightening Moisturizer Gel ,Moisturizer,Dry Skin,"Water, Butylene Glycol, Isononyl Isononanoate, Glycerin, Niacinamide, Ceramide EOP, Ceramide NS, Ceramide NG, Undecylenoyl Phenylalanine, (Msh)，Centella Asiatica Extract, Alpha-Arbutin, Ceramide NP, Tranexamic Acid, Ceramide AS, Ceramide AP, Limnanthes Alba (Meadowfoam) Seed Oil, Betaine, Jojoba Esters, Hydroxyacetophenone, Panthenol, 1,2-Hexanediol, Cetearyl Olivate, Cyclohexasiloxane, Sorbitan Olivate, Bis-PEG/​PPG-20/​5 PEG/​PPG-20/​5 Dimethicone, Methoxy PEG/​PPG-25/​4 Dimethicone, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Dimethicone/​Vinyl Dimethicone Crosspolymer, Armillaria Matsutake Extract, Pentylene Glycol, Saccharomyces Cerevisiae Extract",30,139000,https://shopee.co.id/SKINTIFIC-MSH-Niacinamide-Brightening-Moisturizer-Gel-30g-Cream-Pemutih-Wajah-Calming-Whitening-Dark-Spot-Pelembab-Wajah-Pemutih-Wajah-Facial-Moisturizer-Day-Cream-Night-Cream-Skincare-BPOM-Niacinamide-Skincare-Facial-with-MSH-Niacinamide-Arbutin-Acid-i.380266264.18453646824?sp_atk=383aa842-8611-4224-a678-66f2ed2952cd
SKINTIFIC,3X Acid Anti-Acne Gel Moisturizer,Moisturizer,Acne,"Aqua  Butylene Glycol  Dimethicone/ Vinyl Dimethicone Crosspolymer  Cyclopentasiloxane  Trehalose  Panthenol  Lactobionic Acid  Lactic Acid  Glycerin  Cyclohexasiloxane  1,2-Hexanediol  Hydroxyacetophenone  Carbomer  Methyl Gluceth 20  Salicylic Acid  Sophora Flavescens Root Extract  Ammonium Acryloyldimethyltaurate/VP Copolymer  Pentylene Glycol  Ophiopogon Japonicus Root Extract  Opuntia Ficus Indica Stem Extract  Portulaca Oleracea Extract  Tribulus Terrestris Fruit Extract  Sodium Hydroxide  Disodium Edta  10 Hydroxydecanoic Acid  Arginine/ Lysine Polypeptide  Ectoin  Peg 40 Hydrogenated Castor Oil  Cornus Officinalis Fruit Extract  Aroma**  CI 42090  Maltodextrin  Acacia Senegal Gum  Centella Asiatica Leaf Extract  Glycolic Acid  Sodium Magnesium Silicate  Citric Acid  Xanthan Gum ",30,131500,https://shopee.co.id/Skintific-3X-Acid-Anti-Acne-Gel-Moisturizer-30Gr-i.186214521.27156070804?sp_atk=8a4efb8d-d9f9-4ec1-a10b-4aeccdd78e7c&xptdk=8a4efb8d-d9f9-4ec1-a10b-4aeccdd78e7c
Somethinc,SKIN GOALS Moisture Silk Crème,Moisturizer,Normal,"Oryza Sativa (Rice) Bran Water, Water, Glycerin, 1,2-Hexanediol, Propanediol, Alpha-Arbutin, Dipropylene Glycol, Caprylic/Capric Triglyceride, Pentylene Glycol, Xylitylglucoside, Anhydroxylitol, Sodium Palmitoyl Proline, Glyceryl Acrylate/Acrylic Acid Copolymer, Glycyrrhiza Uralensis (Licorice) Root Extract, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Butylene Glycol, Xylitol, Tromethamine, Tocopherol, Adenosine, Ethylhexylglycerin, Sodium Phytate, Nymphaea Alba Flower Extract",25,89000,https://shopee.co.id/SOMETHINC-SKIN-GOALS-Moisture-Silk-Crem%C3%A8-Brightening-Moisturizer-(Pelembab-untuk-Mencerahkan)-i.487788169.27359363151?sp_atk=69e1e6f1-bc42-4038-b93f-413b8f749f2f&xptdk=69e1e6f1-bc42-4038-b93f-413b8f749f2f
Somethinc,Calm Down! Skinpair R-Cover Cream Moisturizer,Moisturizer,Sensitive,"Water, Glycerin, Dicaprylyl Ether, Butylene Glycol, Hydrogenated Ethylhexyl Olivate, Pentylene Glycol, 1,2-Hexanediol, Panthenol, Hydrogenated Polydecene, Saccharide Isomerate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Polymethylsilsesquioxane, Hydrogenated Olive Oil Unsaponifiables, Boron Nitride, Madecassoside, Aloe Barbadensis Leaf Extract, Allantoin, Artemisia Vulgaris Extract, Astrocaryum Murumuru Seed Butter, Glyceryl Acrylate/Acrylic Acid Copolymer, Tromethamine, Ethylhexylglycerin, Xanthan Gum, Dipotassium Glycyrrhizate, Sodium Phytate, Ceramide NP, Sodium Citrate, Citric Acid, Sea Water, Propanediol, Tocopherol, Emiliania Huxleyi Extract",30,130000,https://shopee.co.id/SOMETHINC-MAKEUP-Calm-Down!-Skinpair-R-Cover-Cream-Moisturizer-i.487788169.26259366608?sp_atk=434d4379-5454-4329-898a-0a3118ccbe0d&xptdk=434d4379-5454-4329-898a-0a3118ccbe0d
Wardah,Wardah Cica Complex + Panthenol Ceramide Calm & Soothe Gel Moisturizer ,Moisturizer,Acne,"Aqua, niacinamide, butylene Glycol, propanediol, Centella Asiatica extract, panthenol, ceramide NP, saccharide isomerate, allantoin, mirabilis jalapa extract, glyserine, xylitol, 1,2 hexanediol, acrylates/c10-30 Alkyl Acrylate crosspolymer, ammonium acryloyldimethyl taurate vp Copolymer, aminomethyl propanol, caprylic/capric triglyceride, Chlorphenesin, caprylyl hydroxamic acid, disodium edta, deoxyphytantriyl palmitamide MEA, hydrogenated lecithin, cholesterol, citric acid, sodium citrate",30,89000,https://shopee.co.id/Wardah-14X-Hyaluron-Pentavitin-Deep-Water-Restore-Gel-Moisturizer-30-g-Pelembab-Gel-Ringan-yang-Meningkatkan-Kadar-Air-di-Kulit-Memperbaiki-Skin-Barrier-Ringan-Long-lasting-Hydration-(Hydrated-Glass-Skin)-i.59763733.24414563519?sp_atk=d0ed6092-e527-47c1-9373-1582fda58ca6
