NO,Brand,Nama Product,Category,Skin Type,Ingredients, Price ,SPF,Bentuk,ukuran (dalam ml atau gr), harga/ukuran ,Link,,,,,,,,,,,Sensitive,2,0
1,AZARINE,Azarine Hydrasoothe Sunscreen Gel SPF45 PA++++,Sunscreen,"normal, oily, kombinasi, dan berjerawat","aqua, glycerin, propanediol, ethylhexyl methoxycinnamate, butyl methoxydibenzoylmethane, aloe barbadensis juice extract, polymethyl methacrylate, portulaca oleracea extract, sodium hyaluronate, niacinamide, cucumis sativus fruit extract, camelia sinensis extract, punica granatum fruit extract, phenoxyethanol, octocrylene, butylene glycol, sodium acrylates c 10-30 alkyl acrylates crosspolymer, propolis, piscea abies extract, allantoin, xanthan gum, panthenol, disodium edta, fragrance, lecithin"," Rp 33,890.00 ",45,Gel,30," Rp 1,129.67 ",https://shopee.co.id/AZARINE-Hydrasoothe-Sunscreen-Gel-SPF45-PA-50ml-30ml-Merah-Jingga-Official-i.1346168602.26417420777?sp_atk=98499f9d-2fa4-4535-b388-216b35fa655e&xptdk=98499f9d-2fa4-4535-b388-216b35fa655e,,,,,,,,,,,,,
2,AZARINE,Azarine Hydrasoothe Sunscreen Gel SPF45 PA++++,Sunscreen,"normal, oily, kombinasi, dan berjerawat","aqua, glycerin, propanediol, ethylhexyl methoxycinnamate, butyl methoxydibenzoylmethane, aloe barbadensis juice extract, polymethyl methacrylate, portulaca oleracea extract, sodium hyaluronate, niacinamide, cucumis sativus fruit extract, camelia sinensis extract, punica granatum fruit extract, phenoxyethanol, octocrylene, butylene glycol, sodium acrylates c 10-30 alkyl acrylates crosspolymer, propolis, piscea abies extract, allantoin, xanthan gum, panthenol, disodium edta, fragrance, lecithin"," Rp 62,750.00 ",45,Gel,50," Rp 1,255.00 ",https://shopee.co.id/-GEL-Azarine-Hydrasoothe-Sunscreen-Gel-SPF45-PA-50ml-LOLOS-UJI-INVIVO-INVITRO-BEST-SELLER-sunscreen-kulit-berminyak-berjerawat-i.80036545.4669860687?sp_atk=bd18a0c4-e479-44e2-8093-f4fd4e663065&xptdk=bd18a0c4-e479-44e2-8093-f4fd4e663065,,,,,,,,,,,Dry Skin,4,
3,AZARINE,Azarine Hydrasoothe Sunscreen Gel SPF45 PA++++,Sunscreen,"normal, oily, kombinasi, dan berjerawat","aqua, glycerin, propanediol, ethylhexyl methoxycinnamate, butyl methoxydibenzoylmethane, aloe barbadensis juice extract, polymethyl methacrylate, portulaca oleracea extract, sodium hyaluronate, niacinamide, cucumis sativus fruit extract, camelia sinensis extract, punica granatum fruit extract, phenoxyethanol, octocrylene, butylene glycol, sodium acrylates c 10-30 alkyl acrylates crosspolymer, propolis, piscea abies extract, allantoin, xanthan gum, panthenol, disodium edta, fragrance, lecithin"," Rp 61,983.00 ",45,Mist,50," Rp 1,239.66 ",https://shopee.co.id/-GEL-Azarine-Hydrasoothe-Sunscreen-Gel-SPF45-PA-50ml-LOLOS-UJI-INVIVO-INVITRO-BEST-SELLER-sunscreen-kulit-berminyak-berjerawat-i.80036545.4669860687?sp_atk=bd18a0c4-e479-44e2-8093-f4fd4e663065&xptdk=bd18a0c4-e479-44e2-8093-f4fd4e663065,,,,,,,,,,,,,
4,AZARINE,Azarine Calm My Acne Sunscreen Moisturiser SPF35 PA+++,Sunscreen,"acne, oily, sensitive, and kombinasi","Aqua, Glycerin*, Ethylhexyl Methoxycinnamate, Butyl methoxybenzoylmethane, Epilobium Angustifolium Flower/Leaf/Stem Extract*, Acrylates Crosspolymer, Inulin Lauryl Carbamate, Ethylexyl Triazone, Chlorphenesin, Bisabolol*, Sodium Hyaluronate, Bakuchiol*, Ectoin*, Phenoxyethanol, Octocrylene, Sodium Surfactin, Quaternium 73"," Rp 34,850.00 ",35,Gel,40, Rp 871.25 ,https://shopee.co.id/Azarine-Calm-My-Acne-Sunscreen-Moisturiser-SPF35-PA-LOLOS-UJI-INVIVO-INVITRO-Sunscreen-Gel-Untuk-Kulit-Berminyak-Berjerawat-Sensitif-40ml-i.80036545.17992088195?sp_atk=e303b531-6a06-43ad-823e-ac5d2700ebd9&xptdk=e303b531-6a06-43ad-823e-ac5d2700ebd9,,,,,,,,,,,Acne,4,
5,AZARINE,Azarine Hydramax-C Sunscreen Serum SPF50 PA++++,Sunscreen,"kering, normal, dan kombinasi","Aqua, ethylhexyl Methoxycinnamate, butylmethoxydibenzoylmethane, glyserine, propanediol, polymethyl methacrylate, octocrylene, butylene Glycol, ectoin, ascorbic acid, hydroxypropyl trimonium hyaluronate, hyaluronic acid, acrylates crosspolymer, allantoin, phenoxyethanol, sodium acetylated hyaluronate, hydrolyzed hyaluronic acid, tocopheryl acetate, Chlorphenesin, potassium hyaluronate, sodium Hyaluronate crosspolymer, hydrolyzed sodium hyaluronate, caprylyl -2 glyseryl ascorbate, xanthan gum, sodium hyaluronate."," Rp 52,000.00 ",50,Gel,40," Rp 1,300.00 ",https://shopee.co.id/Azarine-Hydramax-C-Sunscreen-Serum-SPF-50-40ml-i.10689.17446314412?sp_atk=45db0514-fcc5-461c-89e7-d3a165538db0&xptdk=45db0514-fcc5-461c-89e7-d3a165538db0,,,,,,,,,,,Normal,11,
6,AZARINE,Azarine Ceraspray Sunscreen Spray SPF 50 PA+++,Sunscreen,all skin type,"Water, Ethylhexyl Methoxycinnamate, Alcohol, C12-15 Alkyl Benzoate, Collagen Water (Water, Collagen), Octocrylene, C13-16 Isoparaffin, Dimethicone, Glycerin, Butyl Methoxydibenzoylmethane, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Disodium EDTA, Triethanolamine, Phenylbenzimidazole Sulfonic Acid, Methylene Bis-Benzotriazolyl Tetramethylbutylphenol, Ethylhexyl Salicylate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Phenoxyethanol, Centella Asiatica Leaf Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Calendula Officinalis Extract, Bisabolol, Ceramide NG, Ceramide AS, Ceramide NS, Aloe Barbadensis Leaf Juice, Parfum, Ceramide AP, Ceramide EOS, Ceramide EOP, Ceramide NP"," Rp 49,650.00 ",50,Mist,50, Rp 993.00 ,https://shopee.co.id/Azarine-Ceraspray-Sunscreen-Spray-SPF-50-PA-with-cooling-sensation-50ml-UV-Defender-UV-Protector-Outdoor-Sunscreen-Mist-i.80036545.24159177602?sp_atk=780b930b-3e63-45bc-8960-8dbfb9fc2631&xptdk=780b930b-3e63-45bc-8960-8dbfb9fc2631,,,,,,,,,,,,,
7,EMINA,Emina Sun Battle SPF 35 PA+++,Sunscreen,all skin type,"Aqua, Ethanol, Ethylhexyl Methoxycinnamate, Glyceryl Stearate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Dimethicone, Butylene Glycol, Phenoxyethanol, Triethanolamine, Aloe Vera (Leaf) Extract, Panthenol, Polyvinyl Alcohol, Propylene Glycol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Fragrance, Hydrolyzed Wheat Protein/PVP Crosspolymer, BHT Disodium EDTA, Ethylhexylglycerin, Xanthan Gum, Potassium Sorbate, Sodium Benzoate."," Rp 16,650.00 ",35,Gel,20, Rp 832.50 ,https://shopee.co.id/Emina-Sun-Battle-Bright-Glow-SPF-35-PA-Sunscreen-Serum-Amino-Vitamin-C-Cerah-Ringan-Hydrating-Teruji-In-Vivo-Non-acnegenic-Non-Comedogenic.-Cocok-semua-jenis-kulit-i.63983008.9647576834?sp_atk=c809df25-ceba-4744-b91c-84a2899b2e1a&xptdk=c809df25-ceba-4744-b91c-84a2899b2e1a,,,,,,,,,,,,,
8,EMINA,Emina Sun Battle SPF 35 PA+++,Sunscreen,all skin type,"Aqua, Ethanol, Ethylhexyl Methoxycinnamate, Glyceryl Stearate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Dimethicone, Butylene Glycol, Phenoxyethanol, Triethanolamine, Aloe Vera (Leaf) Extract, Panthenol, Polyvinyl Alcohol, Propylene Glycol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Fragrance, Hydrolyzed Wheat Protein/PVP Crosspolymer, BHT Disodium EDTA, Ethylhexylglycerin, Xanthan Gum, Potassium Sorbate, Sodium Benzoate."," Rp 29,250.00 ",35,Gel,50, Rp 585.00 ,https://shopee.co.id/Emina-Sun-Battle-Bright-Glow-SPF-35-PA-Sunscreen-Serum-Amino-Vitamin-C-Cerah-Ringan-Hydrating-Teruji-In-Vivo-Non-acnegenic-Non-Comedogenic.-Cocok-semua-jenis-kulit-i.63983008.9647576834?sp_atk=c809df25-ceba-4744-b91c-84a2899b2e1a&xptdk=c809df25-ceba-4744-b91c-84a2899b2e1a,,,,,,,,,,,,,
9,EMINA,Emina Sun Battle SPF 35 PA +++ Acne Clear Cica + Allantoin Airy Acne Soothing,Sunscreen,"all skin type, berjerawat","Aqua, Ethylhexyl Methoxycinnamate, Butyl Methoxydibenzoylmethane, Niacinamide, Butylene Glycol, Octocrylene, Phenoxyethanol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Aminomethyl Propanol, Cetearyl Olivate, Bis-ethylhexyloxyphenol Methoxyphenyl Triazine, Chlorphenesin, Allantoin, Salicylic Acid, Lecithin, Sorbitan Olivate, Xanthan Gum, Centella Asiatica Extract, Propylene Glycol, Polygonum Cuspidatum Root Extract, Scutellaria Baicalensis Root Extract, Glycerin, Camellia Sinensis Leaf Extract, Dipropylene Glycol, Glycyrrhiza Glabra (Licorice) Root Extract, Mentha Piperita Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Polysorbate 60, Rosmarinus Officinalis (Rosemary) Leaf Extract, BHT, Tetrasodium EDTA, Potassium Sorbate, Sodium Benzoate."," Rp 30,875.00 ",35,Gel,50, Rp 617.50 ,https://shopee.co.id/NEW!-Emina-Sun-Battle-SPF-35-PA-Acne-Clear-Cica-Allantoin-Airy-Acne-Soothing-50-ml-Sunscreen-untuk-Melindungi-dari-sinar-UV-untuk-Kulit-Berminyak-Berjerawat-Sensitif.-Ringan-no-whitecast-fresh.-Teruji-in-vivo-non-acnegenic-non-comedogenic-i.63983008.27816696670?sp_atk=ebc9862b-ef7f-4895-a08c-4dd8d406bce0&xptdk=ebc9862b-ef7f-4895-a08c-4dd8d406bce0,,,,,,,,,,,,,
10,SKIN AQUA,"Skin Aqua UV Sunscreen Moisture Gel SPF 50, PA++++",Sunscreen,"normal, oily ","Aqua (Water), Ethylhexyl Methoxycinnamate, Methylene Bis-Benzotriazolyl Tetramethylbutylphenol, Cyclopentasiloxane, Glycerin, Ethylhexyl Triazone, Polysorbate 60, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Phenoxyethanol, Betaine, Ammonium Acrolyldimethyltaurate/VP Copolymer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Triethanolamine, Panthenol, Hydrogenated Lecithin, Disodium EDTA, Methylparaben, Propylparaben, Sodium Hyaluronate, Arginine, Sodium Acetylated Hyaluronate (AcHA), Hydrolyzed Collagen, Dipotassium Glycyrrhizate, Ascorbyl Tetrahexyldecanoate, Tocopheryl Acetate"," Rp 57,630.00 ",50,Gel,40," Rp 1,440.75 ",https://shopee.co.id/Skin-Aqua-UV-Sunscreen-Moisture-Gel-SPF-50-PA-40gr-i.78713320.6310202325?sp_atk=569f1c20-2d25-4c6d-b894-523489b958d8&xptdk=569f1c20-2d25-4c6d-b894-523489b958d8,,,,,,,,,,,,,
