Brand,Nama Product,Category,SkinType,Ingredients,Berat, Price ,Link
The Originote,The OriginoteCicamide Facial Cleanser,Facewash,All Skin Type,"Water, cocamidopropyl betaine, peg-90 glyceryl isostearate, sodium laureth sulfate, glycerin, sodium chloride, sodium methyl cocoyl taurate, phenoxyethanol, laureth-2, methylparaben, niacinamide, butylene glycol, ethylhexylglycerin, propylene glycol, centella asiatica extract, caprylic/capric triglyceride, hydrogenated lecithin, hexylene glycol, stearic acid, cholesterol, ceramide NP",70gram," Rp 23,000.00 ",https://shopee.co.id/The-Originote-Cicamide-Facial-Cleanser-Face-Wash-Facial-Wash-Sabun-Cuci-Muka-Mencerahkan-dan-Melembabkan-Wajah-with-Ceramide-Niacinamide-i.710619388.20826474418?sp_atk=c5c669a1-0813-4fec-ad53-ad7f943fdef5&xptdk=c5c669a1-0813-4fec-ad53-ad7f943fdef5
Glad2Glow,Glad2Glow Milk Amino Acid Gentle Cleanser Face Wash,Facewash,All Skin Type,"Aqua, Potassium Palm Kernelate, Potassium Cocoate, Potassium Cocoyl Glycinate, Sodium Cocoyl Glycinate, Lauryl Hydroxysultaine, Milk Protein Extract, Glycol Distearate, Niacinamide, Arginine, Ceramide EOP, Ceramide NS, Ceramide NP, Ceramide AS, Ceramide AP, Propylene Glycol, Potassium Palmitate, Sodium Methyl Lauroyl Taurate, Sodium Chloride, Hydroxypropyl Methylcellulose, Polyquaternium-43, Polyquaternium-7, Stearic Acid, Hydroxystearic Acid, Methylparaben, Propylparaben, Sodium Benzoate, Aroma",80ml," Rp 41,900.00 ",https://shopee.co.id/Glad2Glow-Milk-Amino-Acid-Gentle-Cleanser-Brightening-Face-Wash-80ml-Sabun-Cuci-Muka-Pembersih-Wajah-Facial-Cleanser-Face-Wash-Foam-Sabun-Muka-Acne-Cleanser-Micellar-Cleansing-i.809769142.22355348169?sp_atk=2f0ae31e-8aaf-4963-9e19-fd3763231f2e&xptdk=2f0ae31e-8aaf-4963-9e19-fd3763231f2e
Whitelab,Whitelab Brightening Facial Wash,Facewash,Acne,"Aqua, Palmitic Acid, Glycerin, Lauric Acid, Sodium Laureth Sulfate, Potassium Hydroxide, Stearic Acid, Cocamide DEA, Propylene Glycol, Glycol Distearate, Disodium Cocoyl Glutamate, Sodium Chloride, Parfum, Cocamidopropyl Betaine, DMDM Hydantoin, Licorice Glycyrrhiza Glabra Extract, Niacinamide, Allantoin, Collagen, Polyquaternium-7, Tetrasodium EDTA",100gram," Rp 28,900.00 ",https://shopee.co.id/Whitelab-Acne-Care-Facial-Wash-Sabun-Cuci-Muka-Untuk-Kulit-Jerawat-Kontrol-Minyak-Berlebih-Anti-Bakteri-Dengan-Mugwort-Tea-Tree-BHA-BPOM--i.201071840.17758214991?sp_atk=d2b06c4c-7f47-46f7-a21c-6f979d7f0c0b&xptdk=d2b06c4c-7f47-46f7-a21c-6f979d7f0c0b
HADA LABO,HADA LABO Gokujyun Ultimate Moisturizing Face Wash,Facewash,All Skin Type,"Aqua, Glycerin, Sodium Cocoyl Glycinate, Butylene Glycol, Hydroxypropyl Starch Phosphate, Cocamidopropyl Betaine, PEG-400, Decyl Stearate Se, Sodium Stearoyl Glutamate, Citric Acid, Lauric Acid, Stearic Acid, Methylparaben, PEG-32, BHT, Disodium EDTA, Propylparaben, Polyquaternium-7, Polyquaternium-52, Hydroxypropyl Methylcellulose, Hydroxypropyltrimonium Hyaluronate, Sodium Acetylated Hyaluronate",100gram," Rp 34,500.00 ",https://shopee.co.id/Hada-Labo-Ultimate-Moisturizing-Face-Wash-100gr-i.30736001.602603312?sp_atk=abb27385-73a5-4524-a0a0-9c2a1bd99e32&xptdk=abb27385-73a5-4524-a0a0-9c2a1bd99e32
WARDAH,Wardah Nature Daily Aloe Hydramild Facial Wash,Facewash,All Skin Type,"Aqua, Acrylates Copolymer, Cocamidopropyl Betaine, Propylene Glycol, Glycerin, Sodium Lauroyl Sarcosinate, Decyl Glucoside, Sodium PCA, Potassium Cocoyl Glycinate, Sodium Laureth Sulfate, Potassium Cocoate, Sodium Chloride, Phenoxyethanol, Sodium Hydroxide, Dmdm Hydantoin, Ethylhexylglycerin, Disodium EDTA, Aloe Barbadensis (Aloe Vera) Leaf Extract, Potassium Sorbate, Sodium Benzoate",60ml," Rp 20,500.00 ",https://shopee.co.id/Wardah-Nature-Daily-Aloe-Hydramild-Facial-Wash-60ml-100ml-Gel-Pembersih-Wajah-i.940220394.20476956625?sp_atk=346b2870-d044-4095-9f6e-5c830c936d5d&xptdk=346b2870-d044-4095-9f6e-5c830c936d5d
Himalaya,Himalaya Aloe Vera Face Wash,Facewash,All Skin Type,"Aqua, Ammonium Cocamidopropyl Betaine, Glycerin, Methylchloroisothiazolinone & Methylisothiazolinone, Glycol Stearate, Cucumis Sativus Fruit Extract, Fragrance, Phenoxyethanol, Glyceryl Stearate & PEG-100 Stearate, Aloe Barbadensis Leaf Extract, Cetyl Alcohol, Cetearyl Alcohol, Coco-Glucoside and Glyceryl Oleate, Sodium Lauroyl Sarcosinate, Menthol, Xanthan Gum, Stearic Acid, Tocopherol, Lauryl Sulfate, Disodium EDTA, CI 19140, CI 42053.",50ml," Rp 24,218.00 ",https://shopee.co.id/Himalaya-Aloe-Vera-Face-Wash-50ml-Sabun-Cuci-Muka-Pembersih-Lidah-Buaya-i.118965385.22645305327?sp_atk=0b545a83-84d3-4b98-916d-2577437417c4&xptdk=0b545a83-84d3-4b98-916d-2577437417c4
Cetaphil,Cetaphil Gentle Skin Cleanser,Facewash,All Skin Type,"Water, Glycerin, Cetearyl Alcohol, Panthenol, Niacinamide, Pantolactone, Xanthan Gum, Sodium Cocoyl Isethionate, Sodium Benzoate, Citric Acid",59ml," Rp 41,900.00 ",https://shopee.co.id/Cetaphil-Gentle-Skin-Cleanser-59ml-dengan-Niacinamide-Glycerin-dan-Panthenol-Sabun-Pembersih-Muka-Untuk-Segala-Jenis-Kulit-i.11277516.519802830?sp_atk=30605a67-4910-408a-bbd0-4bf560cf9631&xptdk=30605a67-4910-408a-bbd0-4bf560cf9631
SENKA,SENKA Perfect Whip Gentle Rose Facial Foam,Facewash,All Skin Type,"Water, Glycerin, Stearic Acid, Myristic Acid, Potassium Hydroxide, Lauric Acid, PEG-8, Sodium Methyl Cocoyl Taurate, PEG-5 Glyceryl Stearate, Polyquaternium-7, Acrylates Copolymer, Parfum, Disodium EDTA, Sodium Citrate, Sodium Benzoate, Algin, Sodium Metabisulfite, Sodium Lauryl Sulfate, Phenoxyethanol, Caprylyl Glycol, Carrageenan, Calcium Chloride, Red 30 (Ci 73360), Rosa Damascena Flower Water, Bis-Ethoxydiglycol Cyclohexane 1,4-Dicarboxylate, Butylene Glycol, Yellow 6 (Ci 15985), Lauryl Glucoside, Sodium Acetylated Hyaluronate, Red 33 (Ci 17200), Prunus Speciosa Leaf Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Sodium Hyaluronate, Yellow 10 (Ci 47005), Sericin, Citric Acid, Potassium Sorbate, Tocopherol",100gram," Rp 63,000.00 ",https://shopee.co.id/SENKA-Perfect-Whip-Gentle-Rose-Facial-Foam-(Mencerahkan-dan-Melembapkan-Kulit-Wajah)-100gr-i.138850166.22872613710
L’Oreal Paris,L’Oreal Paris Classic Extraordinary Whip,Facewash,All Skin Type,"Aqua / Water, Bifida Ferment Lysate, Glycerin, Alcohol Denate., Dimethicone, Hydroxyethylpiperazine Ethane Sulfonic Acid, Peg-20 Methyl Glucose Sesquistearate, Sodium Hyaluronate, Salicyloyl Phytosphingosine, Palmitoyl Oligopeptide, Palmtoyl Tetrapeptide-7, Adenosine, Ammonium Polyarcryldimethyltauramide/Ammonium Polyacryloyldimethyl Taurate, Disodium Edta, Caprylyl Glycol, Citric Acid, Xanthan Gum, N-Hydroxysuccinimide, Chrysin, Octyldodecanol, Sodium Benzoate, Phenoxyethanol, Limonene, Parfum/Fragrance",100ml," Rp 72,400.00 ",https://shopee.co.id/L'Oreal-Paris-Aura-Perfect-Extraordinary-Whip-Foam-Cleanser-Skin-Care-100ml-i.62579622.1022922632?sp_atk=95b81b61-71c2-4c76-bc22-ed35e40b870a&xptdk=95b81b61-71c2-4c76-bc22-ed35e40b870a
Clean & Clear,Clean & Clear Foaming Face Wash,Facewash,Acne,"Water, Triethanolamine, Glycerin, Myristic Acid, Lauric Acid, Cocamidopropyl Betaine, Lauryl Phosphate, Hydroxypropyl Methylcellulose, Fragrance, Pentasodium Triphosphate, O-Cymen-5-Ol (Isopropyl Methtylphenol), Benzophenone-4, Butylated Hydroxytoluene",50ml," Rp 18,500.00 ",https://shopee.co.id/Clean-and-Clear-Foaming-Face-Wash-50ml-Sabun-Pembersih-Wajah-i.940220394.26954435410?sp_atk=31fe898f-81f8-4bf9-979a-66d7121b5a23&xptdk=31fe898f-81f8-4bf9-979a-66d7121b5a23
